,Name,Rating,Address,"Latitude, Longitude",Station
0,Oberoi Mall,4.4,"Yashodham, Goregaon, Mumbai, Maharashtra 400063","19.175741390418132, 72.8603997995463",goregaon
1,Hub Mall,3.9,"Service Rd, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065","19.156040587884053, 72.85610826494302",goregaon
2,City Center Mall- Goregaon West - Park+,4.2,"City Centre Mall, Tarce, Swami Vivekananda Rd, Goregaon West, Mumbai, Maharashtra 400047","19.16389778030283, 72.84486095605706",goregaon
3,Central,4.7,"Oberoi Mall, Near International Business Park, Goregaon East Oberoi Garden City, near International Business Park, Goregoan, Maharashtra 400063","19.163904976574845, 72.85739572532401",goregaon
4,Gokuldham Shopping Centre,4,"Gokuldham Shopping Centre, Sai Rd, Gokuldham Colony, Goregaon, Mumbai, Maharashtra 400063","19.17444429065254, 72.86786706975603",goregaon
5,Harmony Mall,3.7,"New Link Rd, Sejal Park, Colony No 1, Bhagat Singh II, Goregaon West, Mumbai, Maharashtra 400104","19.159229477396305, 72.83524895505388",goregaon
6,Vinay Kumkum Shopping Arcade - Agarwal Group,3.6,"Vinay Kumkum Shopping Arcade, Near Topiwala Theater, Topiwala Marg, opp. Lallit Bar, Jawahar Nagar, Goregaon West, Mumbai, Maharashtra 400062","19.165861458813193, 72.84707219366979",goregaon
7,Rajanigandha Shopping Centre,3.9,"Rajnigandha Shopping Centre, 19-68, Krishna Vatika Marg, opposite Gokuldham Colony, ONGC Colony, Gokuldham Colony, Goregaon, Mumbai, Maharashtra 400063","19.17670701282813, 72.86812107360686",goregaon
8,Orchard Mall,3.7,"Orchard Road Mall (ORM), A wing, Royal Palms Estate, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065","19.154624844199812, 72.88439790951738",goregaon
9,Infiniti Mall,4.2,"New Link Rd, Phase D, Oshiwara, Andheri West, Mumbai, Maharashtra 400053","19.14258949117914, 72.83067851513245",andheri
10,Sangam complex,4.1,"Sangam Complex, Andheri - Kurla Rd, Dr. Charatsingh Colony, S B Singh Colony, J B Nagar, Andheri East, Mumbai, Maharashtra 400053","19.114749620027414, 72.86482203228563",andheri
11,Citi Mall,3.7,"New Link Rd, Phase D, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400102","19.140123596453574, 72.83126704020943",andheri
12,Fun Republic Mall,4.3,"near Cinépolis, Fun Republic Rd, Andheri West, Mumbai, Maharashtra 400102","19.136880127537566, 72.83315531543485",andheri
13,Laram Shopping Centre,3.9,"Swami Vivekananda Rd, Opp Andheri Railway Station, Railway Colony, Andheri West, Mumbai, Maharashtra 400058","19.119931966485826, 72.84482828955578",andheri
14,Gio Gallary,4.4,"400047, S B Singh Colony, J B Nagar, Andheri East, Mumbai, Maharashtra","19.112587846481038, 72.8656579550539",andheri
15,G7 Mall,3,"Seven Bunglow, Andheri West, Mumbai, Maharashtra 400053","19.131726428735096, 72.82020359366977",andheri
