Unnamed: 0,Name,Rating,Type,Address,"Latitude, Longitude",Station
10,Extreme Sports India,5.0,Adventure sports,"Solitaire Park, Business Square, A-201, First Floor, Chakala, Andheri East, Mumbai, Maharashtra 400093","19.11521926648991, 72.86059854782911",andheri
7,Advensure,4.8,Adventure Sports Center,"C-505, Navdurga CHS, Police Lane, Andheri (E), Mumbai, Maharashtra 400069","19.1195929748866, 72.8498101816365",andheri
13,Pro Paintball And Laser Tag,4.8,Adventure Sports Center,"Fun Republic Lane, New Link Rd, next to Yash Raj [YRF] Studio, Andheri West, Mumbai, Maharashtra 400102","19.136708879137974, 72.8351068313201",andheri
8,Bhavan's Nature And Adventure Centre,4.5,Adventure Sports Center,"Bhavans Campus, New Dadabhai Rd, Old D N Nagar, Munshi Nagar, Andheri West, Mumbai, Maharashtra 400058","19.1254373176762, 72.8348493402094",andheri
9,Kalichaudas Adventure Park,4.47,Adventure Sports Center,"63, Veera Desai Industrial Estate Rd, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053","19.140033437457543, 72.83330438775224",andheri
11,Outdoor Adventure,4.47,Adventure Sports Center,"Options Primo Building, No. 115, 1st Floor, near Passport Office, Sainath Nagar, Mumbai, Maharashtra 400096","19.121625896219545, 72.8756189179751",andheri
15,Ada Experience,4.47,Adventure sports,"201, A-wing, Pranik Chambers,, Sakinaka Junction, Andheri(East), Mumbai, Maharashtra 400072","19.107439470478763, 72.88795000159357",andheri
17,Far Escape Adventures,5.0,Adventure Sports Center,"D/311, Parmar CHS, Paranjpe B Scheme, Vile Parle East, Mumbai, Maharashtra 400057","19.105368442951193, 72.85281489066035",vileparle
21,Sailing Bay Watersports Juhu,5.0,Adventure sports,"Sailing Bay, Police Station, opp. Juhu, Juhu Tara, Juhu, Mumbai, Maharashtra 400049","19.10666608557723, 72.82449076227867",vileparle
18,Advensure,4.8,Adventure Sports Center,"C-505, Navdurga CHS, Police Lane, Andheri (E), Mumbai, Maharashtra 400069","19.11939866368144, 72.84886667882533",vileparle
22,Bhavan's Nature And Adventure Centre,4.5,Adventure Sports Center,"Bhavans Campus, New Dadabhai Rd, Old D N Nagar, Munshi Nagar, Andheri West, Mumbai, Maharashtra 400058","19.125075293228985, 72.83461878394243",vileparle
25,Nirvana Adventures,4.5,Adventure Sports Center,"Takshashila Apartments, 2A, Tagore Rd, Santacruz West, Mumbai, Maharashtra 400054","19.081063095129615, 72.8351016788253",vileparle
16,Ultimate Sports,4.4,Outdoor sports store,"Shahaji Raje Marg, Yash Co-Operative Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.112262052774266, 72.84852335605704",vileparle
23,GK Sports,4.3,Sporting goods store,"No. 33, Mahatma Gandhi Rd, Near Parleshwar Temple, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.10342195992467, 72.8456909432189",vileparle
20,Urban Sports,4.2,Sports complex,"Prabodhankar Thackeray Krida Sankul, Shahaji Raje Marg, Vile Parle East, Mumbai, Maharashtra 400057","19.10974794601079, 72.84921000159359",vileparle
