Name,Rating,Type,Address,Station,"Latitude, Longitude"
Lallu Bhai Park,4.4,Park,Bharucha Road,andheri,"19.113944091805187, 72.84459826856187"
Shivsena Public Garden,4.4,Park,"4R7X+QQ4, Saiwadi",andheri,"19.11458009106382, 72.84943163791004"
Walawalkar Garden,4.4,Park,New Link Rd,andheri,"19.153475465026208, 72.82884787004791"
Sant Nirankari Udyan,4.3,Park,"Cross Rd B, Bhim Nagar, Andheri East, Mumbai, Maharashtra 400053",andheri,"19.11679473139463, 72.8692597815865"
BHARAT VAN,4.3,Park,"11, Customs Colony Rd, Customs Colony, Marol, Andheri East, Mumbai, Maharashtra 400059",andheri,"19.123723081691306, 72.88695005199781"
Powai Garden,4.3,Garden,"76, Saki Vihar Rd",andheri,"19.128953292244212, 72.8966063032082"
Sangeetkar Anil Mohile Manoranjan Park,4.3,Garden,"134, Model JP Rd",andheri,"19.13341255858489, 72.82385436646943"
Police Jogging Park,4.3,Park,"4R9X+3R2, T.G., Police Colony",andheri,"19.11798608672592, 72.84952272306154"
NatureKnights,4.3,Campground,"Yari Road, Versova, Andheri West",andheri,"19.142577131501106, 72.8074777603996"
South West Vile Parle Residential Association Park,5.0,Park,"3RVQ+HW4, L.I.C. Office",vileparle,"19.09425030580329, 72.83984401227191"
Kishore Kumar Park,4.4,Park,4R6M+6FM,vileparle,"19.111003151315046, 72.83387990195737"
Kaifi Azmi Udayan,4.4,Garden,Vidyanidhi Marg,vileparle,"19.11243255531133, 72.83091975536603"
Thackeray Udyan,4.3,Garden,"4R5X+HVC, WING B, Veer, Vile Parle East, Baji Prabhu Deshpande Marg",vileparle,"19.10922740958863, 72.84966481791139"
Sant Nirankari Udyan,4.3,Park,Cross Rd B,vileparle,"19.114171714013573, 72.8678941919203"
BNHS Nature Reserve,4.7,Nature preserve,"5V7V+72Q, Film City Complex, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065",goregaon,"19.163229850703328, 72.8925963378799"
Forest trail,4.7,Hiking area,"4VXF+J3H, Kokan Vikas Mandal",goregaon,"19.149223909869786, 72.87278713972741"
Humpty Dumpty,4.6,Tourist attraction,"9, Vihar Lake Rd",goregaon,"19.15062613188623, 72.89650055893887"
Joggers Park,4.3,Park,"5R9V+PHP, Unnat Nagar, Goregaon West, Mumbai, Maharashtra 400047",goregaon,"19.169363993234853, 72.84393733934856"
"Aarey Vasundhara - An Ecovillage, Aarey Nursery",4.3,Ecological park,"Unit 5, Aarey Rd, near Panchavati Restaurant",goregaon,"19.158103659174486, 72.87391175322144"
Veravali Garden Pumping Station,4.3,Garden,Jogeshwari - Vikhroli Link Rd,goregaon,"19.133878807225283, 72.87486049555"
Film City View,4.3,Scenic spot,"28, Dr Babasaheb Ambedkar Marg",goregaon,"19.167011893459147, 72.88174209555082"
Lands End Garden,4.6,Park,"2RV9+4CM, Lands End Garden, Bandra Fort Trail",bandra,"19.042815857056077, 72.81862569739546"
Couple Park,4.5,Park,2RR9+VJQ,bandra,"19.042401526221642, 72.81900495319842"
Band Stand,4.4,Scenic spot,BJ Road,bandra,"19.050657959287147, 72.82134028017467"
Love Mumbai,4.4,Park,"C-5, Western Express Hwy",bandra,"19.049544071190663, 72.83347375137073"
Bandra Sea View,4.4,Scenic spot,"26, Sangeet Samrat Naushad Ali Rd",bandra,"19.06136838783648, 72.82198945321889"
Jogger's Park,4.3,Park,Sangeet Samrat Naushad Ali Rd,bandra,"19.0597284451291, 72.82150168227453"
