Name,Rating,Type,Address,Station,"Latitude, Longitude"
Jogger's Park,4.3,Park,Sangeet Samrat Naushad Ali Rd,bandra,"19.0597284451291, 72.82150168227453"
Band Stand,4.4,Scenic spot,BJ Road,bandra,"19.050657959287147, 72.82134028017467"
Couple Park,4.5,Park,2RR9+VJQ,bandra,"19.042401526221642, 72.81900495319842"
Lands End Garden,4.6,Park,"2RV9+4CM, Lands End Garden, Bandra Fort Trail",bandra,"19.042815857056077, 72.81862569739546"
Love Mumbai,4.4,Park,"C-5, Western Express Hwy",bandra,"19.049544071190663, 72.83347375137073"
Bandra Sea View,4.4,Scenic spot,"26, Sangeet Samrat Naushad Ali Rd",bandra,"19.06136838783648, 72.82198945321889"
Swami Vivekanand Sarovar,4.2,Tourist attraction,"31, Turner Rd",bandra,"19.05683838636923, 72.83818229554804"
Bandra Pond,3,Tourist attraction,"3R4Q+M38, Lake",bandra,"19.056703972996015, 72.83769921486471"
Maharashtra Nature Park,4.2,Park,"Sion Bandra Link Road, Dharavi, opp. Bus Depot",bandra,"19.052430681157603, 72.86266753602922"
Rotary Park,4,Garden,"3R2C+2HV, BJ Road",bandra,"19.05025265965525, 72.82141616671241"
Carter Road Mangroves,4.2,Nature preserve,"Capri Heights, St Andrews Rd",bandra,"19.066286631883134, 72.82218119912724"
BNHS Nature Reserve,4.7,Nature preserve,"5V7V+72Q, Film City Complex, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065",goregaon,"19.163229850703328, 72.8925963378799"
Forest trail,4.7,Hiking area,"4VXF+J3H, Kokan Vikas Mandal",goregaon,"19.149223909869786, 72.87278713972741"
Aarey Picnic Point Pond,3.9,Garden,"Unit 19, Unit 25, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065",goregaon,"19.13667544951549, 72.88227653787919"
Ganesh Mandir Lake,4.2,Park,"4VGJ+H3H, Aarey Rd, Seepz, Goregaon, Mumbai, Maharashtra 400096",goregaon,"19.126571121004417, 72.88023736671438"
Picnic Point Garden,4.2,Garden,"Unit 25, Aarey Rd, Unit 25, Ganesh Nagar, Goregaon, Mumbai, Maharashtra 400065",goregaon,"19.138965200000005, 72.88076408436636"
Joggers Park,4.3,Park,"5R9V+PHP, Unnat Nagar, Goregaon West, Mumbai, Maharashtra 400047",goregaon,"19.169363993234853, 72.84393733934856"
"Aarey Vasundhara - An Ecovillage, Aarey Nursery",4.3,Ecological park,"Unit 5, Aarey Rd, near Panchavati Restaurant",goregaon,"19.158103659174486, 72.87391175322144"
Veravali Garden Pumping Station,4.3,Garden,Jogeshwari - Vikhroli Link Rd,goregaon,"19.133878807225283, 72.87486049555"
Minatai Garden,4.1,Garden,"16, Dr Babasaheb Ambedkar Marg",goregaon,"19.175690532922836, 72.8786961907512"
Aarey Dairy Butterfly Garden,4.2,Community garden,"Visava Guest house corner, Workers Colony, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065",goregaon,"19.15361301058966, 72.87825089555056"
Film City View,4.3,Scenic spot,"28, Dr Babasaheb Ambedkar Marg",goregaon,"19.167011893459147, 72.88174209555082"
Humpty Dumpty,4.6,Tourist attraction,"9, Vihar Lake Rd",goregaon,"19.15062613188623, 72.89650055893887"
Sant Nirankari Udyan,4.3,Park,"Cross Rd B, Bhim Nagar, Andheri East, Mumbai, Maharashtra 400053",andheri,"19.11679473139463, 72.8692597815865"
Shiv Shakti Udyan,4.2,Park,"Green Homes, pipe line opp, Marol Pipeline Rd",andheri,"19.108122785446092, 72.86943278020773"
Lallu Bhai Park,4.4,Park,Bharucha Road,andheri,"19.113944091805187, 72.84459826856187"
Mahakali Caves,4.1,Tourist attraction,Mahakali Caves Rd,andheri,"19.125527268355146, 72.86646329558208"
Shivsena Public Garden,4.4,Park,"4R7X+QQ4, Saiwadi",andheri,"19.11458009106382, 72.84943163791004"
Shahid Ashok Kamte Park,4.2,Park,"4VQ9+6CX, Near St. Xaviers High School",andheri,"19.138426458503574, 72.86869617186234"
Lok Sarita Park,3.9,Park,"A-34, Military Rd",andheri,"19.120660744609612, 72.88448668356162"
BHARAT VAN,4.3,Park,"11, Customs Colony Rd, Customs Colony, Marol, Andheri East, Mumbai, Maharashtra 400059",andheri,"19.123723081691306, 72.88695005199781"
Botanical Garden,4.2,Garden,"4RPR+V75, Captain Suresh Samant Marg",andheri,"19.137475291948874, 72.8407618275975"
Walawalkar Garden,4.4,Park,New Link Rd,andheri,"19.153475465026208, 72.82884787004791"
Maasaheb Meenatai Thackeray Garden,4.2,Garden,"Near New Kunj Vihar, J.P. Road, &, 2nd Ln",andheri,"19.133382500689518, 72.84284107726721"
Powai Garden,4.3,Garden,"76, Saki Vihar Rd",andheri,"19.128953292244212, 72.8966063032082"
Sangeetkar Anil Mohile Manoranjan Park,4.3,Garden,"134, Model JP Rd",andheri,"19.13341255858489, 72.82385436646943"
Walking GARDEN,4,Park,"4RR4+8V2, Public garden, Next to ganga CHS,, Silva Pakhadi Rd",andheri,"19.14174772441133, 72.80724408840273"
Seven Bungalows Garden,4.2,Garden,"4RH8+JR3, JP Road, Near Nana Nani Park",andheri,"19.129296446268867, 72.81706669692589"
Deer Park,3.7,Park,4VJX+66M,andheri,"19.137306994799545, 72.89952578216743"
Garden,4,Park,"4RMM+R8W, YRF, Veera Desai Rd, behind the Fun republic",andheri,"19.13515457300199, 72.83319927429338"
Exercise Park,4,Park,4V66+8CH,andheri,"19.127449498087035, 72.86555063070408"
Police Jogging Park,4.3,Park,"4R9X+3R2, T.G., Police Colony",andheri,"19.11798608672592, 72.84952272306154"
Bhardawadi Park And Garden,3.8,Park,4RGV+FHP,andheri,"19.12648473970544, 72.84397574729081"
DN Nagar park.,2,Park,4RGH+2G8,andheri,"19.125224090426162, 72.82873733133592"
NatureKnights,4.3,Campground,"Yari Road, Versova, Andheri West",andheri,"19.142577131501106, 72.8074777603996"
Aji Ajoba Park,3.8,Park,"3VV2+F7F, Navpada, Vile Parle East, Vile Parle",vileparle,"19.09420292329058, 72.85078763497008"
Sathaye Udyan (Trikoni Garden),4.2,Garden,"9, Park Rd",vileparle,"19.09982380656865, 72.84869479793537"
Swatantrya Veer Sawarkar Udyan,4.2,Garden,"4R4W+2F5, Swatantrya Veer Sawarkar Udyan, Mahatma Gandhi Rd Paranjape Nagar",vileparle,"19.112476921978825, 72.84709700722193"
Ishwarlal park,4,Garden,"Ishwarlal Park, Baptista Rd",vileparle,"19.09832601788051, 72.84064948572129"
Bhagatsingh Garden,4.2,Garden,"4R4R+6V7, Dadabhai Road,Cross, Bhagatsingh Rd",vileparle,"19.105894361184813, 72.84219642353156"
Thackeray Udyan,4.3,Garden,"4R5X+HVC, WING B, Veer, Vile Parle East, Baji Prabhu Deshpande Marg",vileparle,"19.10922740958863, 72.84966481791139"
Dolphin Aquarium,3.4,Tourist attraction,"1, Narveer Tanaji Malusare Marg",vileparle,"19.107890293224724, 72.84298820636533"
Sardar Vallabhbhai Patel Park,4.2,Park,4R6V+HH7,vileparle,"19.11177884967674, 72.84391624783298"
Pushpa Narsee Park,4.2,Park,"15, Vaikunthlal Mehta Rd",vileparle,"19.104942710532793, 72.83045098656811"
South West Vile Parle Residential Association Park,5,Park,"3RVQ+HW4, L.I.C. Office",vileparle,"19.09425030580329, 72.83984401227191"
Irla signal,2,Tourist attraction,4R5V+993,vileparle,"19.109656338277368, 72.84085002043423"
Sitaram Pursotam Sathe Udyan,3.9,Park,"3RXX+QC5, Near Dixit BMC School, Malviya Road, Park Road, Vile Parle East",vileparle,"19.09987498299103, 72.84872393697272"
Lokmanya Tilak Udyan,4.2,Garden,"Cross Road Number 10, 14, Gulmohar Rd",vileparle,"19.120022387115252, 72.83056617966656"
Maharashtra Nature Park,4.2,Park,"Sion Bandra Link Road, Dharavi, opp. Bus Depot",vileparle,"19.052714550696713, 72.86292264530806"
Kishore Kumar Park,4.4,Park,4R6M+6FM,vileparle,"19.111003151315046, 72.83387990195737"
Pu.La.Deshpande Play Ground,4.1,Playground,"148/A, Malviya Rd",vileparle,"19.100925325286436, 72.85025426921192"
Juhu Garden,4.1,Park,"22, Juhu Tara Rd",vileparle,"19.08424304613423, 72.83390961367392"
Kaifi Azmi Udayan,4.4,Garden,Vidyanidhi Marg,vileparle,"19.11243255531133, 72.83091975536603"
Circle Garden,3.9,Park,"L-1, Swami Vivekananda Rd",vileparle,"19.09282273344732, 72.83624616049984"
Sant Nirankari Udyan,4.3,Park,Cross Rd B,vileparle,"19.114171714013573, 72.8678941919203"
Mumbai selfie point juhu,4,Tourist attraction,selfie point,vileparle,"19.104230809220493, 72.83008894044976"
Muktananda Park,4.1,Park,Saraswati Rd,vileparle,"19.082548424407612, 72.83145893567614"
