Name ,Types,Ratings,address,"Latitude, Longitude",station
Basilica of Our Lady of the Mount,Church,4.7,"Mt Mary Rd, near Shanti Avedna Sadan, Mount Mary, Bandra West, Mumbai, Maharashtra 400050","19.04677107077572, 72.8227268276735",bandra
St. Anne Church,Church,4.7,"3R7G+PHH, Nargis Dutt Road, Pali Hill, Bandra West, Mumbai, Maharashtra 400050","19.07016485930287, 72.82802145423491",bandra
Mount Mary Church Steps, Pilgrimage place,4.7," 2RWF+WVV, St John Baptist Rd, Mount Mary, Bandra West, Mumbai, Maharashtra 400050","19.04774439921703, 72.82551929362468",bandra
Daughters of St. Paul's Chapel, Church,4.7,"3R6M+8MM, Waterfield Road, Bandra West, Mumbai, Maharashtra 400050","19.061273745182735, 72.83478613692563",bandra
Jesus Calls Prayer Tower, Place of worship,4.7,"10 National Library Road, Nandi Gali Lane, opp. Bandra Railway Station, Bandra West, Mumbai, Maharashtra 400050","19.071928286569452, 72.87323775711666",bandra
Avatar Church, Church,4.6,"St Paul Media Complex, Rd Number 24, TPS III, Bandra West, Mumbai, Maharashtra 400050","19.061220203716793, 72.83248860412947",bandra
Living Word Church,Church,4.6,"ADAPT Hall, KC Marg, near Hotel Rang Sharda, Reclamation, Bandra West, Mumbai, Maharashtra 400050","19.05131935302742, 72.83241148650845",bandra
"New Life Church, Bandra",Church,4.6,"6th Floor, LOBEAD: Morello Halls Holy Family Hospital, New Wing, Hill Rd, Bandra West, Mumbai, Maharashtra 400050","19.055247047078858, 72.82747377629906",bandra
Stepping Stone Charitable Society (Official),Place of worship,5,"Mini Punjab Hotel, Pali Darshan, 16th road/33rd road junction l, opp. Mini, Bandra West, Mumbai, Maharashtra 400050","19.066149062625552, 72.83253120644703",bandra
BRO. MANUEL MINISTRIES,Church,4.6," S4, BLUE NILE APTS, Bandra CHS, Plot No. 39, Waroda Rd, Bandra (w)","19.054596121732033, 72.82787180808927",bandra
Mahalakshmi Mandir,Hindu temple,4.6,"Bhulabhai Desai Marg, Mahalaxmi West, Cumballa Hill, Mumbai, Maharashtra 400026","18.98044826205485, 72.8076295998802",vileparle
Parleshwar Mandir,Hindu temple,4.7,"Vishnu Prasad Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.103288588216472, 72.84656300994364",vileparle
Saibaba Mandir,Hindu temple,4.6," 205, Tilak Mandir Road, Satsang CHSL, Navpada, Park Road, Vile Parle, Mumbai, Maharashtra 400057","19.100876453832864, 72.84771156880217",vileparle
VILE PARLE CHA GANRAJ MANDAL,Hindu temple,5,"Dayaldas Rd, opp. Nana Nani park, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.094102532810357, 72.85085005156914",vileparle
"Gurusthan Sai Mandir, Vile Parle",Hindu temple,4.5,"4V32+9VW, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.103726473552843, 72.8526471822526",vileparle
Mahalaxmi Temple,Hindu temple,4.8,"4V42+5W6, Paranjape Scheme B Road No. 1, Navpada, Paranjape Nagar, Vile Parle, Mumbai, Maharashtra 400057","19.106229127590808, 72.85368540576226",vileparle
Bapa Sitaram Temple,Hindu temple,4.7," swastic compound, Western Express Hwy, Ambewadi, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099","19.099906734965607, 72.85491465156916",vileparle
Vile Parle Swaminarayan Sabha,Hindu temple,5,"3RXV+V55, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra 400056","19.099961784625823, 72.84307335939027",vileparle
Shree Vithoba Temple,Hindu temple,5,"4V42+Q22, Tejpal Scheme Rd Number 3, Udyan Vikas Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.10714074834917, 72.85020567462506",vileparle
Kaka Saheb Dixit Sai Temple,Hindu temple,4.5,"1, Paranjape Scheme B Road No. 1, Vishnu Prasad Society, Navpada, Paranjape Nagar, Vile Parle, Mumbai, Maharashtra 400057","19.104559541326392, 72.85275081108803",vileparle
