Name,Rating,Type,Address,"Latitude, Longitude",Station,Budget,ID
Adar Udupi Refreshments (Pure Veg Vile Parle),3.7,South Indian,"3VW2+JRH, Santa Sakha Building, Nehru Rd, Vile Parle East, Mumbai, Maharashtra 400057","19.096748091317934, 72.85209323556836",vileparle,700,1
Jumbo king,4.2,Hamburger,"W), opp. Station, Zaveri Bladg, No.2, Dashrathlal Joshi Rd","19.108049343340294, 72.84296301539987",vileparle,800,2
Sunder Veg,3.9,South Indian,"54, Mahatma Gandhi Rd, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.10006750228497, 72.84596353742211",vileparle,700,3
Lucky Sandwich & Pizza Corner,4.3,Sandwich,"Station Road, Bajaj Road, corner, Vile Parle West, Mumbai, Maharashtra 400056","19.100441739992835, 72.84248422022117",vileparle,800,4
Kya Lenge Aap,4.7,Fast Food,"Shop No.5, R T Building, Pherozeshah Mehta Rd","19.0967871528599, 72.84822493557327",vileparle,900,5
Taste of Paratha,3.8,Fast Food,"9, Hanuman Rd, Satsang CHSL, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.103407635991406, 72.8487752778989",vileparle,700,6
Maruti Pav Bhaji,4.0,Restaurant,"Bhagat Building, shop no 1- 383 ll, Swami Vivekananda Rd, opposite dominos","19.100436701803552, 72.83961052022549",vileparle,800,7
Saurashtra,4.1,Fast Food,"101, Nehru Rd, near Bank Of Baroda, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.098370442782944, 72.84786113742534",vileparle,800,8
Eatsee,4.8,Restaurant,"Shop No 06, Hari Leela Apartment, Ram Mandir Rd, opp. Kalra Shukla Classes, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.099086280071816, 72.84536004906262",vileparle,900,9
Udupi to mumbai,4.2,Indian,"Besides Papillon, Shop no 4/5 Harzabai House, Irla Rd, Vile Parle West, Mumbai, Maharashtra 400056","19.11295512729908, 72.83789811539988",vileparle,800,10
Shree Laxmi Sagar,3.7,Vegetarian,"Shop No.1&2 Vishwakarma Baug, Bajaj Road, Vile Parle West, Mumbai, Maharashtra 400056","19.105212757772335, 72.8425620932445",vileparle,700,11
RJ Spice,4.3,Chinese,"Shop No.2, Kondivita Andheri Kurla Rd, RK Mandir Rd, near J.B. Nagar, near MIDC, Andheri East, Mumbai, Maharashtra 400059","19.114684946162697, 72.87111466440854",andheri,800,12
Poolside Cafe,4.2,Restaurant,"VITS Hotel, Andheri Kurla Road, International Airport Zone, Andheri East, Mumbai, Maharashtra 400059","19.111789649789248, 72.87133836440785",andheri,800,13
China Gate Restaurant,4.1,Chinese,"Akruti Star, G-1, Ground Floor, MIDC Central Rd, Andheri East, Mumbai, Maharashtra 400069","19.118686326592446, 72.87045500673369",andheri,800,14
Choice Restaurant,4.4,Family-friendly,"Abu Asad Compound Marol Pipeline Road, Andheri (E, opp. Mukund Hospital, Andheri East, Mumbai, Maharashtra 400059","19.110717526136902, 72.87205035090825",andheri,800,15
Mystery Box - Andheri - J.B. Nagar / Chakala,3.9,Fast Food,"Metro Station, Mystery Box / Shawarma Street (Multi-Kitchen Outlet Shop No. 3, Post office Bldg, Sahar Rd, opp. Sahar Plaza Midas II, near J.B. Nagar, Chakala, J B Nagar, Andheri East, Mumbai, Maharashtra 400059","19.113171872448962, 72.86861635090895",andheri,700,16
Apna Dhaba Family Restaurant and Bar,3.8,Restaurant,"318/41, Kakad Corner, Marol Pipeline, Andheri - Kurla Rd, Andheri East, Mumbai, Maharashtra 400059","19.1116421499029, 72.87108335091521",andheri,700,17
Gajalee restaurant,4.3,Seafood,"E3, Udyog Sadan No.2, MIDC, opposite ESIC Hospital, MIDC, Andheri East, Mumbai, Maharashtra 400093","19.117699531078745, 72.8669749778969",andheri,800,18
Milan Punjab,3.3,Biryani,"4V7C+9GH, Sahar Road , Kamala Bhawan, Koldongri , Andheri East, Mumbai, Maharashtra 400069","19.114514121890135, 72.87134081006045",andheri,700,19
BORA BORA,3.9,Restaurant,"G-1, Akruti Star, MIDC Central Rd, M.I.D.C, Pipeline, Andheri East, Mumbai, Maharashtra 400093","19.12116406488131, 72.87067562222923",andheri,700,20
Cocoon Restaurant,4.1,North Indian,"New, Chakala Rd, Shaheed Bhagat Singh Society, J.B. Nagar, Tarun Bharat, Andheri East, Mumbai, Maharashtra 400093","19.111009713107613, 72.86293673556813",andheri,800,21
Gk 2 Family Restaurant,3.9,North Indian,"4V6C+F3F, Opp. Trade star, J.B.nagar, Andheri - Kurla Rd, Mumbai, Maharashtra 400059","19.111378050208845, 72.87023027975037",andheri,700,22
Goregaon SOCIAL,4.1,Restaurant,"Oberoi Mall, Western Express Hwy, Yashodham, Goregaon, Mumbai, Maharashtra 400063","19.173960005000342, 72.86059966440641",goregaon,700,23
Fleur Restaurant - The Fern Hotel Goregaon,4.2,Buffet,"4/277, IB Patel Rd, Behind H.P Petrol, Jay Prakash Nagar, Goregaon, Mumbai, Maharashtra 400063","19.162418287556097, 72.85712240673202",goregaon,700,24
HOD- Kitchen & Bar,4.1,Restaurant,"Aspen Park 3/4, Nirlon Knowledge Park Backgate, Walbhat Rd, Goregaon, Mumbai, Maharashtra 400063","19.15603303450008, 72.85165975091199",goregaon,700,25
Peshawari Grill,4.0,Buffet,"Second Floor, The Hub Mall, Western Express Hwy, Cama Industrial Estate, Goregoan East, Mumbai, Maharashtra 400063","19.154997336015505, 72.85625343556946",goregaon,700,26
