Name ,Type,Rating,Address,"Latitude, Longitude",Station
Starlight Cinemas,Movie theater,5,"3V42+J2W, Madhusudan Kalelkar Rd, MIG Colony, Bandra East, Mumbai, Maharashtra 400051","19.05679335833512, 72.85004710267098",bandra
Zeta Banquet - Conference Hall,Banquet hall,4.8,"Hotel Grace Galaxy, Swami Vivekananda Rd, near Gaiety Galaxy Theatre, Bandra West, Mumbai, Maharashtra 400050","19.061788811521573, 72.83713459973775",bandra
Nita Ambani Cultural Centre within the Jio Convention Centre,Performing arts theater,4.8,"3V88+5HJ, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051","19.065685291693335, 72.8664802046846",bandra
PVR Le Reve Bandra Mumbai, Movie theater,4.2,"PVR Le Reve, Hill Road. Marks & Spencer Building, Globus 4th Floor, 110, Hill Rd, Bandra West, Mumbai, Maharashtra 400050","19.056279903336822, 72.83395013397006",bandra
Kumar Sachin Dev Burman Chowk, Movie theater,4,"Junction of 14th Riad and, Khar Pali Rd, Khar West, Mumbai, Maharashtra 400052","19.066936232418136, 72.83280410414989",bandra
"Movietime: Suburbia, Bandra West",Movie theater,3.9,"205 & 206, Junction of S.V. Road and Linking Road, behind SHOPPERS STOP, Bandra West, Mumbai, Maharashtra 400050","19.061445976073948, 72.83647132237348",bandra
The Mental Talkies, Art studio,4.3,"Title Waves, St Paul Media Complex, 24th Road, opp. Duruelo Convent High School, Bandra West, Mumbai, Maharashtra 400050","19.061340566702295, 72.8324003972679",bandra
The Jeff Goldberg Studio,Drama school,4.4,"301, & 401, Links Building, Corner of 14th Rd, &, Linking Rd, opp. Domino's Pizza, Khar West, Mumbai, Maharashtra 400052","19.06814704667315, 72.832816532387",bandra
Open Air Films,Film Production Company,4.4,"Ground Floor, Bhupati Taru Villa, 15 Chimbai Road, (Opp. Beat Chowki #4), Bandra West, Mumbai, Maharashtra 400050","19.057972754236438, 72.82390527976253",bandra
PVR Cinemax Bandra (E) Mumbai,Movie theater,3.8,"RNA Corporate Park, E, Bldg, opp. Chetana College, Government Colony, Bandra East, Mumbai, Maharashtra 400051","19.061574597874984, 72.85080117786092",bandra
Realistic Theatre and Acting Academy,Performing arts theater,4.5,"Piroja Studio, 302, Zee Nayak Building, Mahatma Gandhi Rd, Vile Parle East, Mumbai, Maharashtra 400057","19.10152479045383, 72.84617066587958",vileparle
Gold Digitech Theaters Pvt. Ltd.,Corporate office,4.8,"104, Rachna, Vallabhbhai Patel Road, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra 400056","19.097575036965665, 72.84135283268466",vileparle
Bahar Cinema,Movie theater,4.1,"4V53+F5F, Navpada, Netaji Subhash Nagar, Vile Parle, Mumbai, Maharashtra 400047","19.10896071684657, 72.85368528294579",vileparle
Tamilan Thalapathy Vijay Fans club,Movie theater,5,"32, Vaikunthlal Mehta Rd, Nehru Nagar, Airport Area, Juhu, Mumbai, Maharashtra 400047","19.102142609032843, 72.83639012342078",vileparle
Ekjute Theatre Group,Performing arts group,4.5,"Nepathya 20, Gulmohar Rd, JVPD Scheme, Juhu, Mumbai, Maharashtra 400049","19.116512000956693, 72.83314753201931",vileparle
